JobseekerID,Name,Language,Education Level,Industry,Experience
10445,Maria Thys,Spanish,Bachelor,Health and social services,5-10
21243,Michel Dewilde,Dutch,PhD,Education,2-4
11338,Sandy Mertens,Spanish,Bachelor,Education,0-1
10282,Arne De Cock,German,High School,Agriculture,10+
17232,Michaël Vandewalle,English,Master,Education,5-10
20029,Christian Daniels,Dutch,Bachelor,Logistics,0-1
13789,Jacqueline Mertens,Dutch,Master,Technology,0-1
21643,Marie Bogaert,German,PhD,Education,0-1
12981,Mohamed Van Loo,German,Master,Health and social services,10+
21300,Koen Wouters Vandenberghe,French,Master,Manufacturing,0-1
12417,Tineke Peeters,Dutch,Bachelor,Transport,10+
16631,Wouter Decock,French,Bachelor,Wholesale and retail,10+
15827,Guillaume Bonte,Spanish,PhD,Technology,0-1
12420,Irène Peeters,Dutch,Master,Education,0-1
17350,Kathleen Moonen,Dutch,Master,Research,0-1
18467,Carina Verhaegen,English,Master,Agriculture,2-4
12594,Anna Poppe Colpaert,Dutch,Master,Energy,2-4
15662,Florian Merckx,Spanish,High School,Technology,5-10
14745,Marcella Melis,French,Bachelor,Transport,2-4
16321,Fernand Huybrechts Vansteenkiste,French,High School,Energy,0-1
13892,Els Reynders,English,Bachelor,Wholesale and retail,10+
10257,Lars Pauwels,Spanish,High School,Technology,2-4
15448,Marleen Pauwels,French,PhD,Pharmaceutical,10+
20176,Wilfried Daems,German,Master,Financial intermediation,2-4
14985,Kurt Bonte,Spanish,Bachelor,Transport,2-4
20988,Jan Moreels Wouters,Spanish,Bachelor,Education,0-1
11284,Mieke De Maeyer,English,Bachelor,Construction,10+
22088,Fatima Van Gestel,French,High School,Pharmaceutical,5-10
15754,Hugo De Clercq,Spanish,Master,Research,10+
16969,Frank Theunis,French,Bachelor,Health and social services,2-4
18189,Gino Vandekerckhove Verheyen,German,PhD,Administration,10+
11983,Koen Smits Timmerman,English,PhD,Administration,10+
11108,Daniel Boone,German,Master,Construction,2-4
17517,Emiel Schepens,English,Master,Manufacturing,0-1
17242,Ana Van Nuffel De Backer,Spanish,Master,Education,2-4
15234,Vicky Buysse,English,PhD,Technology,5-10
13330,Wim De Meester,Dutch,Master,Wholesale and retail,10+
19569,Maxim Verbeke,French,Bachelor,Logistics,0-1
19029,An Claesen,French,High School,Hotels and restaurants,0-1
23765,Patrick De Decker,Dutch,PhD,Administration,0-1
22626,Dario Meersman Vanhove,German,High School,Technology,5-10
21879,Anna Roelandt,Dutch,PhD,Research,2-4
22917,Marie Moens,Spanish,Bachelor,Pharmaceutical,2-4
17246,Greta Reynders Claes,Spanish,High School,Logistics,5-10
12696,Margo Andries,French,Bachelor,Transport,10+
14554,Daniel Raes,Spanish,Master,Education,2-4
23132,Rita Ceulemans De Schutter,French,PhD,Manufacturing,2-4
20444,Kris Tack,Dutch,Bachelor,Manufacturing,10+
15172,Paul Jansen,Dutch,Bachelor,Hotels and restaurants,0-1
19070,Zita Dekeyser,Dutch,PhD,Manufacturing,2-4
11483,Seppe De Vos,French,Master,Construction,2-4
21742,Katrien Verbeke,Dutch,PhD,Wholesale and retail,2-4
24405,Myriam Vanhove,Dutch,Bachelor,Manufacturing,0-1
19671,Kaat Goris,German,PhD,Energy,0-1
22886,Fleur Jansen,Dutch,PhD,Education,10+
23866,Marie Cools,Spanish,High School,Agriculture,5-10
23884,Guy Goovaerts,French,Master,Agriculture,5-10
19061,Linda Van den Bosch,German,High School,Wholesale and retail,10+
17542,Guillaume Bonte,English,High School,Administration,2-4
20987,Koen Andries,French,Master,Construction,5-10
10561,Johnny Geerts,Spanish,High School,Technology,2-4
18290,Irène Geeraerts,French,High school,Cleaning,10+
20997,Georgette De Bruyn,Spanish,Bachelor,Administration,0-1
18205,Evelien Geerts,Spanish,Master,Transport,2-4
14983,Filip Raes,English,PhD,Hotels and restaurants,5-10
10117,Michel Willems,French,High school,Cleaning,0-1
18107,Jan Vermeersch,English,Master,Manufacturing,5-10
15395,Heidi Lemmens,English,High School,Health and social services,5-10
21662,Barbara Coene,French,High School,Hotels and restaurants,2-4
15167,Maria Vermeulen,Dutch,High school,Cleaning,0-1
22530,Jack Vanderheyden,Dutch,Bachelor,Research,5-10
13284,Walter Van den Bergh Vanhove,English,Master,Health and social services,0-1
21316,Marleen Smets,German,Bachelor,Administration,2-4
19021,Jules Van Genechten,English,Bachelor,Logistics,10+
23212,Hélène Kaya,English,Master,Transport,0-1
10036,Wim Callewaert,English,Bachelor,Transport,10+
15973,Anna Van Looveren,Dutch,Master,Hotels and restaurants,0-1
13207,Elza Singh,Dutch,Bachelor,Agriculture,5-10
22151,Els Driesen,Dutch,Bachelor,Administration,0-1
16420,Nora Simons,English,Bachelor,Agriculture,2-4
15549,Wendy De Smet,German,High School,Agriculture,2-4
20134,Omar Van Camp,Dutch,Bachelor,Construction,5-10
20267,Khalid Vrancken Peeters,French,Master,Financial intermediation,0-1
17818,Kathleen Wouters,French,High school,Cleaning,10+
12325,Maria De Vos,French,High School,Manufacturing,5-10
17166,Luna Heylen,Spanish,Bachelor,Research,5-10
18545,Ian Dobbelaere,English,PhD,Energy,10+
13554,Luc Rottiers,French,High School,Transport,5-10
24261,Maria Neven,English,Master,Health and social services,10+
20145,Petra Belmans,French,Bachelor,Energy,10+
16077,Lucia Daems,German,Master,Construction,5-10
10544,Marleen Bogaert,English,PhD,Education,0-1
22606,Gilles Deckers,French,Bachelor,Health and social services,0-1
17429,Dorine Claes,Dutch,Master,Manufacturing,5-10
22136,Robin De Roeck,English,PhD,Education,0-1
21439,Casper De Sutter,Spanish,High school,Cleaning,5-10
10393,Christine Aerts,Dutch,PhD,Construction,10+
15721,Milan Stevens,Dutch,High School,Hotels and restaurants,10+
11344,Koen Eeckhout,Spanish,High School,Manufacturing,5-10
23066,Liliane Leys,Dutch,Bachelor,Logistics,2-4
13111,Pauline De Bock,Dutch,Bachelor,Financial intermediation,0-1
23960,Lotte De Baets,French,Bachelor,Health and social services,0-1
10744,Christianne Van Acker,French,Bachelor,Pharmaceutical,10+
24969,Joseph Peeters,English,PhD,Agriculture,5-10
19928,Carine Claes,English,Master,Technology,5-10
16806,Jeanine Van den Brande,English,Master,Pharmaceutical,10+
17347,Geert Kaya,French,Master,Education,2-4
12976,Renée Desmet,English,Bachelor,Research,2-4
11062,Marie Diallo,Dutch,High School,Administration,10+
22771,Joren Bruyninckx Maes,French,Bachelor,Logistics,10+
12105,René Van de Voorde,English,Master,Energy,10+
18761,Godelieve Dierick,Dutch,Bachelor,Research,5-10
11749,Sander Dewulf,English,Master,Manufacturing,10+
15203,Patricia Mertens,German,Bachelor,Research,2-4
16359,Maxim Mertens,English,High School,Health and social services,0-1
18970,Jean De Smet,German,Master,Manufacturing,2-4
13970,Katja Desmet,English,Bachelor,Wholesale and retail,10+
19056,Mathieu Van Roy,Spanish,PhD,Construction,0-1
17371,Marthe Van Roy,English,Bachelor,Hotels and restaurants,10+
22802,Christophe Heremans,French,High School,Pharmaceutical,2-4
10460,Véronique Depoorter Van Gorp,French,PhD,Technology,2-4
23565,Marleen Bossuyt,German,High School,Health and social services,0-1
13000,Fabian Ramaekers De Rycke,French,Bachelor,Research,0-1
17921,Brenda De Vos,Dutch,PhD,Health and social services,0-1
24173,Ilse Martens,Spanish,Master,Logistics,2-4
18531,Daniel Verhaegen,Spanish,PhD,Logistics,10+
15465,Maria Pattyn,Dutch,Bachelor,Education,0-1
13676,Joyce Hendrickx,German,Bachelor,Health and social services,5-10
17369,Axel Wauters,Dutch,Master,Wholesale and retail,10+
19325,Simonne Van Roy,Dutch,Master,Research,5-10
24375,Nicole Wellens,Spanish,PhD,Wholesale and retail,10+
23340,Oona Vermeire,English,PhD,Energy,0-1
19121,Liesbeth Vermeersch,Spanish,PhD,Technology,0-1
22630,Liam Viaene,Spanish,Master,Construction,2-4
12549,Josepha Declercq,French,PhD,Financial intermediation,0-1
11829,Eric Pieters,Dutch,High school,Cleaning,2-4
14731,Milan Borremans,Spanish,Bachelor,Hotels and restaurants,5-10
24806,Hannelore Troch,Dutch,Bachelor,Construction,0-1
19396,Rosa Hermans,French,Bachelor,Financial intermediation,5-10
12795,Georges Van den Broeck,Dutch,PhD,Construction,5-10
15081,Kathleen Decoster,Spanish,Bachelor,Energy,2-4
11383,Lauren Troch,Dutch,PhD,Wholesale and retail,2-4
13648,Alain Leysen,French,Bachelor,Agriculture,5-10
17751,Ana Christiaens,English,High school,Cleaning,5-10
11694,Sofie Lievens,Dutch,PhD,Energy,0-1
17855,Mohamed Theunis,Spanish,PhD,Energy,0-1
13954,Willy Claesen,French,Bachelor,Administration,5-10
10041,Omer Verstraete,Spanish,Master,Financial intermediation,10+
24267,Anny Goossens,Spanish,Master,Pharmaceutical,0-1
24522,Lieven De Bruyn,Dutch,High School,Wholesale and retail,5-10
16981,Stella Verbruggen,Spanish,Bachelor,Manufacturing,2-4
21280,Amina Vercruysse,Dutch,High School,Agriculture,5-10
13149,Sébastien De Bruyne,English,Master,Manufacturing,10+
19279,Geert Willems,Spanish,PhD,Transport,2-4
10579,Lena Swinnen,Spanish,Master,Financial intermediation,2-4
23580,Ingrid Cools,Spanish,Bachelor,Administration,5-10
18670,Françoise Vandaele,German,High School,Manufacturing,0-1
16094,Jurgen Verbiest,German,High school,Cleaning,10+
18694,Johannes Leemans,French,Master,Agriculture,10+
13534,Tania De Smet,German,PhD,Research,2-4
10546,Sofie Vermeir,French,PhD,Transport,0-1
16684,Simonne Braem,German,PhD,Logistics,5-10
19163,Micheline Sanders,English,High school,Cleaning,2-4
14273,Maria Michielsen,French,PhD,Administration,2-4
21197,Annie De Schutter,German,Master,Pharmaceutical,10+
18222,Erik Van Goethem,English,PhD,Logistics,10+
13345,Christel Cools,German,Master,Health and social services,0-1
24096,Steffi Melis,Dutch,Master,Technology,5-10
16964,Robert Beckers,Dutch,PhD,Financial intermediation,10+
22752,Marieke Verschueren,English,High School,Logistics,10+
22500,Rosa Pauwels,Spanish,Bachelor,Administration,5-10
18452,Bart Devos,Spanish,PhD,Pharmaceutical,10+
12025,Kris Lemmens Vansteenkiste,Dutch,Bachelor,Technology,2-4
16936,Delphine Vervaet,Dutch,Master,Construction,2-4
17258,Nicolas De Wit,Spanish,High School,Health and social services,5-10
12652,Greta Hendrickx,French,Master,Pharmaceutical,2-4
13259,Joris Verwimp,Spanish,High School,Technology,2-4
18777,Kurt Neven,German,Master,Pharmaceutical,2-4
16466,Jana Hanssens,French,High School,Wholesale and retail,0-1
16972,Margaretha De Backer,German,Master,Transport,0-1
15504,Elise Goossens,Dutch,Bachelor,Logistics,2-4
20923,Maxime Van den Bosch,French,High School,Hotels and restaurants,2-4
16779,Jeroen De Bruyn,German,High school,Cleaning,2-4
10752,Petra Stevens,German,High School,Administration,5-10
16538,Youssef Verhelst,French,Master,Energy,2-4
17779,Godelieve Aerts,English,High School,Agriculture,0-1
17876,Bruno Verheyen,Spanish,Bachelor,Wholesale and retail,10+
16084,Maria Schepers,German,High school,Cleaning,5-10
15732,Thomas Vansteenkiste,Spanish,PhD,Education,10+
19242,Joris Demuynck Cuypers,Spanish,Master,Research,5-10
15828,Edgard Hellemans Wouters,Dutch,Master,Manufacturing,10+
17354,Anja Callens Raes,Spanish,Master,Health and social services,10+
22855,Sara De Keyser Thys,German,Master,Health and social services,10+
13989,Erik Van Damme,Dutch,Bachelor,Health and social services,10+
22042,Véronique Van den Bergh Declercq,French,Bachelor,Research,0-1
22343,Sofie Thomas,German,Master,Health and social services,10+
22955,Jean Dupont,Dutch,High School,Health and social services,5-10
15359,Rania Boonen,Dutch,Bachelor,Education,5-10
14761,Clara De Schrijver,Spanish,Master,Logistics,2-4
11646,Josephus Martens,French,Master,Financial intermediation,10+
23285,Rudi Verboven,German,PhD,Research,5-10
10049,Patricia Vercauteren,German,High school,Cleaning,5-10
15217,Nore Geerts,Spanish,High School,Agriculture,5-10
22206,Pieter Claes,French,PhD,Financial intermediation,10+
22406,Erwin Debruyne,German,Bachelor,Energy,5-10
20466,Steffi Goossens,French,PhD,Hotels and restaurants,2-4
20962,Brian De Bondt,German,Bachelor,Transport,0-1
24554,Tom Stevens,Spanish,Bachelor,Technology,2-4
17240,Kevin Van den Bossche,English,Bachelor,Pharmaceutical,5-10
17887,Lars Claes Jacobs,German,PhD,Hotels and restaurants,2-4
20796,Chris Swennen Vandekerckhove,Dutch,Bachelor,Construction,0-1
12143,Jacques Van de Walle,Dutch,PhD,Energy,10+
15796,Margareta Van Loon,English,PhD,Health and social services,5-10
10195,Monica Van Acker,German,Master,Administration,5-10
14811,Lynn Houben,Dutch,Master,Education,5-10
10640,Norbert Van Goethem,Dutch,Master,Construction,2-4
12930,Marleen Tanghe,German,Bachelor,Logistics,10+
15377,Inge Coppens,French,PhD,Wholesale and retail,5-10
21279,Nadia Mees,German,PhD,Technology,10+
23518,Elien Meersman Mestdagh,French,Bachelor,Agriculture,5-10
23157,Kurt Van Hoecke,English,PhD,Construction,0-1
22267,Hilda Vaes,Spanish,PhD,Agriculture,0-1
18735,Sara Smet,English,High School,Hotels and restaurants,5-10
20665,Dorine Verdonck,Spanish,Master,Health and social services,10+
20073,Wouter Van den Brande,Dutch,Bachelor,Energy,2-4
22081,Leen Dekeyser,Dutch,Bachelor,Construction,10+
18227,Petra Van Campenhout,Dutch,Master,Health and social services,10+
18980,Ronny David,French,High School,Administration,5-10
11059,Lodewijk Mertens,Spanish,PhD,Pharmaceutical,0-1
10422,Nathan Janssen,Dutch,Master,Logistics,0-1
20292,Wouter Janssens Claessens,German,High school,Cleaning,10+
18856,Nicky Dierick,Spanish,Bachelor,Administration,10+
15245,Jessy Vermeulen,Spanish,PhD,Health and social services,5-10
23204,Maxim De Paepe,French,PhD,Manufacturing,5-10
15330,Walter Delaere,English,PhD,Health and social services,2-4
18660,Joanna Daems,French,Master,Construction,5-10
17332,Pieter De Wolf,Dutch,Master,Financial intermediation,10+
12478,Patricia De Graeve,German,High School,Pharmaceutical,5-10
13460,Anna Tanghe,German,High School,Energy,5-10
15613,Maria Vlaeminck,Dutch,Bachelor,Manufacturing,0-1
17936,Jacques De Smet,German,Bachelor,Pharmaceutical,5-10
18255,Bram Sterckx,French,Master,Pharmaceutical,10+
14783,Aline Devolder,French,PhD,Hotels and restaurants,5-10
22387,Margareta Bogaerts,Dutch,PhD,Construction,0-1
15894,Heidi Thomas,German,Bachelor,Hotels and restaurants,10+
22848,Godelieve Michiels Degroote,Spanish,PhD,Agriculture,10+
17743,Diana De Wilde,English,High School,Transport,10+
20310,Anthony Schoofs Boon,Spanish,PhD,Administration,2-4
12440,Sofie Matthys Broeckx,French,Bachelor,Manufacturing,0-1
10761,Dirk Dierickx Van Looy,French,PhD,Financial intermediation,0-1
18624,Vic Dewulf,French,High School,Manufacturing,2-4
10348,Patrick Dhondt,French,Master,Logistics,5-10
12505,Benny Simoens,English,PhD,Financial intermediation,2-4
14720,Nancy Bogaerts,Dutch,Master,Manufacturing,0-1
11870,Els Vergauwen,French,High School,Construction,0-1
10268,Johan Thijs,German,Bachelor,Hotels and restaurants,10+
22992,Christiana Swennen,English,High School,Logistics,2-4
14690,Fatma Verhelst,French,Bachelor,Hotels and restaurants,0-1
11403,Helga Van den Broeck,German,High School,Transport,0-1
16059,Marie Janssens,French,PhD,Manufacturing,5-10
10971,Jeroen Nuyts,Dutch,High School,Pharmaceutical,10+
22930,Karine Torfs,English,Bachelor,Manufacturing,2-4
17649,Patrick De Wit,Dutch,Bachelor,Transport,2-4
22044,Sharon Hermans,English,High School,Transport,5-10
22496,Carina Van Goethem,French,High school,Cleaning,2-4
14963,Lucienne De Moor,French,Master,Administration,2-4
19500,Karen Diallo,English,Bachelor,Energy,5-10
14009,Erna Wouters,German,PhD,Education,2-4
11915,Lieselot Verhoeven Vandaele,German,Master,Administration,5-10
16653,Maria Matthys,French,High School,Hotels and restaurants,2-4
16209,Paul Cornelis,French,PhD,Logistics,10+
10225,Kathy Smet Callewaert,Dutch,High School,Transport,10+
18568,Julien Bossuyt,French,Master,Agriculture,10+
20995,Sara Peeters,English,High School,Administration,0-1
11947,Isabel De Clercq,German,Bachelor,Hotels and restaurants,5-10
17014,Ahmad Liekens,German,Master,Transport,10+
22558,Guy Lemmens,Dutch,High school,Cleaning,0-1
21149,Alice Maes,German,PhD,Wholesale and retail,0-1
23469,Paul Declerck,German,Bachelor,Financial intermediation,0-1
11877,Rosa Matthijs,Spanish,High School,Research,5-10
11408,Koen Van Dyck,English,Bachelor,Administration,0-1
15624,Hilde De Ridder,Spanish,High school,Cleaning,2-4
20407,Julia Ceuppens,German,PhD,Wholesale and retail,2-4
16008,Anja Jacobs,Dutch,High School,Logistics,5-10
20316,Lindsay Van de Velde,Dutch,PhD,Pharmaceutical,0-1
16265,Raymond Rogiers,German,Bachelor,Wholesale and retail,0-1
17155,Geert De Pauw,French,Bachelor,Technology,5-10
11463,Wouter Claus,Spanish,Bachelor,Pharmaceutical,2-4
13784,Benny Van Dyck,German,High school,Cleaning,10+
20615,Amy De Keyser,Dutch,PhD,Logistics,2-4
14661,Zoë Thys,Dutch,PhD,Agriculture,5-10
10272,Paul Van Nuffel,Spanish,Bachelor,Health and social services,10+
21544,Marie-Thérèse De Clerck,English,PhD,Education,10+
14513,Annie Bogaerts,German,Bachelor,Construction,10+
17216,Pieter Nelissen,German,PhD,Financial intermediation,0-1
20871,Hilde Claes,English,Master,Technology,5-10
20721,Mauro Vaes,Spanish,Bachelor,Wholesale and retail,5-10
15837,Natasja Ooms,Spanish,Master,Education,5-10
10737,Jef Janssen,Dutch,Bachelor,Technology,5-10
10689,Marie Verhoeven,English,PhD,Hotels and restaurants,10+
10678,Björn Desmet,Spanish,High School,Logistics,0-1
24281,Milan Mertens,French,PhD,Transport,5-10
23586,Anita Geudens Van Looveren,German,Bachelor,Financial intermediation,2-4
15109,Marleen Deman,Dutch,Master,Transport,2-4
15500,Tony Naessens,English,PhD,Energy,10+
19043,Dimitri Devriendt,Dutch,PhD,Administration,0-1
14929,Raphaël Janssens,Spanish,PhD,Manufacturing,10+
10555,Luc Bracke,Spanish,High School,Transport,10+
20497,Marnix Deckers,French,High School,Research,5-10
19072,An Boonen,German,Master,Health and social services,10+
19620,Katelijne Mertens,English,PhD,Technology,2-4
12257,Daisy Peeters,Dutch,Master,Administration,10+
12131,Yvette Boeckx,German,Master,Energy,2-4
20259,Josepha Lauwers,Spanish,High school,Cleaning,0-1
17824,André Claeys,German,Bachelor,Technology,5-10
10378,Maria De Roeck,Dutch,PhD,Transport,2-4
16654,Carine Cuyvers,German,Bachelor,Logistics,10+
24321,Nadia Van Assche,Spanish,Bachelor,Education,5-10
19350,Dirk Claes,German,PhD,Education,0-1
20206,Michel Bonte,English,PhD,Administration,0-1
21170,Magdalena Pauwels,German,Master,Education,2-4
